episode_number,title
151,教室で指されたくない人へ!指名扇ナリ
152,箱根山でドッキリ!江戸時代の山賊たち
153,回れ仲直り鶴!ブタゴリラパンツの怒り
154,ゲロゲロ!小便小僧になったブタゴリラ
155,なぞの物体!ピアノの中のヘタウマドリ
156,ブタゴリラもウルウル!黒板の中のママ
157,雪だるまがくれたクリスマスプレゼント
158,珍発明!?だまってはさめば宿題スラスラ
159,コロ助仰天!やじろ帽でニチコメ友好!?
160,開けてびっくり!机の中の遅れたお年玉
161,春の珍事!時刻表を書いたブタゴリラ
162,ブタゴリラでもスターになれる!丸案鬼…
163,一家ランラン!?ブタゴリラファミリー
164,文明の危機!教室からラーメン一丁
165,カチカチ!ブタゴリラの火の用心クラブ
166,すれちがいメロドラマ!愛の上越新幹線
167,アットホーム!?一家そろって記念写真
168,ゾーッ!!江戸時代から来た大きな迷子
169,うそみたい!テレビにドアがついていた
170,世紀の名犬!のら犬ベンからの贈り物
171,キリンにメガネ!?ハシゴローものがたり
172,海底SOS!龍宮の使いと金歯のサメ
173,お茶の間の太陽!ボンボン時計と踏み台
174,鳥心器でドッキリ!鳩のハートに大接近
175,㊙特訓!トンガリはロッキーになれるか
176,仙鏡水で発見!東京でいちばん奇妙な雲
177,転校御免!みよちゃんサンキンホータイ
178,トンガリドッキリ!ブランデーと錯覚糖
179,コロ助の時代!コロッケ5円でバス10円
180,田植えツアー!ブタコレラ&トンガラシ
181,ベンも仰天!痛いのとんでけ〜鎮痛香
182,超ふしぎ!?タナバタ竹の子ノーベル賞
183,大どろぼう登場!その名は注射ジョー
184,迷い人に贈る!メウツリコーナリ
185,日本初のUターンかぶと虫!クロ丸ナリ
186,ユーレーも真っ青!ブタゴリラの通知表
187,語るも涙!ブタゴリラ一家の悲惨な休暇
188,ナイターも真っ青!一時だけの大人体験
189,実りの秋!田んぼのアイドル田吾作ナリ
190,ブタゴリラもポ〜!かあちゃん初恋時代
191,勉三さんの家に出現!幻のバス停ナリ
192,乗れば休日!のらくらはドッジの味方
193,八百八の家宝!オンボロ自転車百年号
194,秋サンサン!隅田川から愛をこめて
195,秋の大運動会!りんりん丸で勝負あった
196,ついに発見!遠足名物リュックがなる木
197,思い出探険!15年前に恐竜がいた!?
